kegiatan_id,dosen_id,jenis_kegiatan,nama_institusi,tanggal_mulai,tanggal_selesai,tahun,ingested_at
KGTd3e41d4a,0843899000,QS100,BMKG,2023-05-28,2023-10-02,2023,2026-05-17T15:02:44+07:00
KGT0530c198,0843899000,Praktisi_Industri,LIPI,2020-03-13,2021-02-24,2020,2026-05-17T15:02:44+07:00
KGT925f65b6,0843899000,Tridarma_PT_Lain,PT Telkom Indonesia,2022-01-23,2022-10-07,2022,2026-05-17T15:02:44+07:00
KGTc24601e1,0283841001,Praktisi_Industri,BRIN,2021-03-09,2021-05-14,2021,2026-05-17T15:02:44+07:00
KGTed062188,0283841001,QS100,JICA Indonesia,2023-01-30,2024-01-16,2023,2026-05-17T15:02:44+07:00
KGTbe2ad7ff,0283841001,Pembina_Prestasi,PT PLN,2023-04-21,2024-02-11,2023,2026-05-17T15:02:44+07:00
KGT2c91182d,0290415002,Praktisi_Industri,Universitas Lampung,2024-05-27,2025-04-05,2024,2026-05-17T15:02:44+07:00
KGTd9ec01a7,0391276004,Praktisi_Industri,Universitas Lampung,2024-03-25,2024-10-25,2024,2026-05-17T15:02:44+07:00
KGTc0c85b21,0391276004,QS100,TU Delft,2025-02-04,2025-12-24,2025,2026-05-17T15:02:44+07:00
KGT7533c314,0391276004,QS100,PT Astra International,2024-05-22,2025-04-09,2024,2026-05-17T15:02:44+07:00
KGT8452e08d,0674891006,Pembina_Prestasi,Universitas Lampung,2023-04-09,2024-03-08,2023,2026-05-17T15:02:44+07:00
KGTf79be4b5,0674891006,QS100,IPB University,2025-06-23,2025-12-07,2025,2026-05-17T15:02:44+07:00
KGT96dc580f,0674891006,Pembina_Prestasi,UNDP Indonesia,2022-01-23,2022-11-08,2022,2026-05-17T15:02:44+07:00
KGT72ac0324,0674891006,Praktisi_Industri,Unila,2022-01-22,2022-04-23,2022,2026-05-17T15:02:44+07:00
KGTb61733dc,0540472007,Pembina_Prestasi,UGM,2023-02-14,2023-05-06,2023,2026-05-17T15:02:44+07:00
KGTaa65ce71,0540472007,QS100,PT PLN,2023-06-30,2024-03-04,2023,2026-05-17T15:02:44+07:00
KGTb404a64b,0741154008,Praktisi_Industri,Kyushu University,2021-02-27,2021-09-15,2021,2026-05-17T15:02:44+07:00
KGT6a7832f5,0741154008,Praktisi_Industri,BPS Lampung,2022-05-06,2022-09-05,2022,2026-05-17T15:02:44+07:00
KGT20ce8f05,0455785009,QS100,BMKG,2020-03-01,2020-08-09,2020,2026-05-17T15:02:44+07:00
KGTd7d212c0,0455785009,Pembina_Prestasi,Chulalongkorn University,2021-05-24,2022-01-03,2021,2026-05-17T15:02:44+07:00
KGT2fd79376,0641086010,QS100,Google Indonesia,2023-04-14,2024-03-31,2023,2026-05-17T15:02:44+07:00
KGT8efc88f5,0641086010,Tridarma_PT_Lain,Universitas Indonesia,2023-03-25,2023-05-11,2023,2026-05-17T15:02:44+07:00
KGT7f39aa6f,0641086010,Pembina_Prestasi,PT Astra International,2024-05-23,2024-11-23,2024,2026-05-17T15:02:44+07:00
KGT1e2f45e4,0641086010,Pembina_Prestasi,ITS,2020-04-23,2021-02-05,2020,2026-05-17T15:02:44+07:00
KGTc9d38338,0641086010,Tridarma_PT_Lain,Kyushu University,2023-02-27,2023-05-20,2023,2026-05-17T15:02:44+07:00
KGTe3ad58fa,0650028011,Praktisi_Industri,Google Indonesia,2020-05-02,2021-03-16,2020,2026-05-17T15:02:44+07:00
KGTf48035e2,0650028011,QS100,NUS Singapore,2024-04-09,2024-12-07,2024,2026-05-17T15:02:44+07:00
KGT22f6999b,0650028011,Pembina_Prestasi,IPB University,2024-05-30,2025-02-13,2024,2026-05-17T15:02:44+07:00
KGT48ec4722,0881660012,Praktisi_Industri,Politeknik Negeri Lampung,2024-03-29,2024-12-30,2024,2026-05-17T15:02:44+07:00
KGT9a1bc24e,0881660012,Tridarma_PT_Lain,TU Delft,2025-04-08,2026-03-01,2025,2026-05-17T15:02:44+07:00
KGT466032ee,0736311014,QS100,JICA Indonesia,2025-04-07,2025-11-08,2025,2026-05-17T15:02:44+07:00
KGT8e5f271c,0736311014,Pembina_Prestasi,BMKG,2020-06-01,2021-03-12,2020,2026-05-17T15:02:44+07:00
KGT70b3ba43,0854318016,Praktisi_Industri,PT Telkom Indonesia,2022-05-05,2022-07-09,2022,2026-05-17T15:02:44+07:00
KGTe4440ad8,0854318016,QS100,Bank Indonesia,2020-04-03,2021-01-01,2020,2026-05-17T15:02:44+07:00
KGT7a241af3,0854318016,Praktisi_Industri,Universitas Indonesia,2025-05-19,2025-12-23,2025,2026-05-17T15:02:44+07:00
KGT478f4362,0854318016,QS100,Kyushu University,2024-03-30,2024-05-01,2024,2026-05-17T15:02:44+07:00
KGT41956d25,0572793017,Praktisi_Industri,NUS Singapore,2023-03-03,2023-07-01,2023,2026-05-17T15:02:44+07:00
KGT57b8f841,0572793017,Pembina_Prestasi,UNDP Indonesia,2021-02-11,2022-02-01,2021,2026-05-17T15:02:44+07:00
KGTd7da7df4,0572793017,Tridarma_PT_Lain,Google Indonesia,2021-03-24,2022-02-22,2021,2026-05-17T15:02:44+07:00
KGT921ccb2d,0977618018,Pembina_Prestasi,Politeknik Negeri Lampung,2025-02-01,2025-07-29,2025,2026-05-17T15:02:44+07:00
KGT7390850d,0977618018,QS100,ITB,2022-01-21,2022-07-13,2022,2026-05-17T15:02:44+07:00
KGT2ca5d499,0977618018,Tridarma_PT_Lain,Osaka University,2024-01-10,2024-07-31,2024,2026-05-17T15:02:44+07:00
KGTca2a88fd,0977618018,Praktisi_Industri,ITB,2024-04-08,2024-05-18,2024,2026-05-17T15:02:44+07:00
KGTa1a35e80,0178756019,Pembina_Prestasi,BPS Lampung,2025-06-18,2026-01-07,2025,2026-05-17T15:02:44+07:00
KGT060a2b4c,0178756019,Praktisi_Industri,Chulalongkorn University,2022-05-18,2022-09-09,2022,2026-05-17T15:02:44+07:00
KGT67889608,0178756019,Pembina_Prestasi,PT Pertamina,2022-06-02,2022-09-05,2022,2026-05-17T15:02:44+07:00
KGTa485fbd3,0178756019,Praktisi_Industri,PT Pertamina,2024-02-23,2024-11-25,2024,2026-05-17T15:02:44+07:00
KGT3970705b,0178756019,Pembina_Prestasi,UGM,2022-04-28,2023-03-28,2022,2026-05-17T15:02:44+07:00
KGTb4fa86ea,0178756019,QS100,TU Delft,2022-01-06,2022-08-25,2022,2026-05-17T15:02:44+07:00
KGTc985d613,0890507020,Pembina_Prestasi,LIPI,2024-01-20,2024-05-06,2024,2026-05-17T15:02:44+07:00
KGTb1c7bd65,0890507020,Tridarma_PT_Lain,BRIN,2024-04-03,2025-01-01,2024,2026-05-17T15:02:44+07:00
KGT0d47438b,0890507020,Praktisi_Industri,Osaka University,2022-02-28,2022-09-27,2022,2026-05-17T15:02:44+07:00
KGTc9c3d2d9,0977209021,Pembina_Prestasi,Osaka University,2020-05-27,2020-10-14,2020,2026-05-17T15:02:44+07:00
KGTccae4a7c,0240448022,QS100,IPB University,2023-05-03,2023-06-29,2023,2026-05-17T15:02:44+07:00
KGT2569ffc2,0886295023,Praktisi_Industri,PT Telkom Indonesia,2021-02-14,2022-01-07,2021,2026-05-17T15:02:44+07:00
KGT8cc69472,0886295023,Praktisi_Industri,Universitas Lampung,2024-06-14,2025-05-12,2024,2026-05-17T15:02:44+07:00
KGT8c22a29b,0886295023,Praktisi_Industri,TU Delft,2021-03-05,2021-06-09,2021,2026-05-17T15:02:44+07:00
KGTd78a91da,0761133025,Tridarma_PT_Lain,UNDP Indonesia,2024-02-04,2024-12-27,2024,2026-05-17T15:02:44+07:00
KGT73450957,0761133025,Pembina_Prestasi,Unila,2022-06-15,2023-01-12,2022,2026-05-17T15:02:44+07:00
KGTda229fb2,0761133025,Praktisi_Industri,BRIN,2020-05-01,2021-01-11,2020,2026-05-17T15:02:44+07:00
KGT54d065d4,0557463026,Pembina_Prestasi,Universitas Indonesia,2022-03-21,2022-09-26,2022,2026-05-17T15:02:44+07:00
KGT6f0915db,0557463026,Pembina_Prestasi,Toyota Motor Manufacturing,2022-02-22,2022-04-22,2022,2026-05-17T15:02:44+07:00
KGTb5b046a8,0557463026,Pembina_Prestasi,NUS Singapore,2022-01-29,2022-08-20,2022,2026-05-17T15:02:44+07:00
KGTcfe0c48e,0557463026,QS100,Unila,2021-03-25,2021-11-15,2021,2026-05-17T15:02:44+07:00
KGT94417e88,0870232027,Praktisi_Industri,PT Bukit Asam,2023-05-11,2024-02-17,2023,2026-05-17T15:02:44+07:00
KGT96409fb3,0870232027,Praktisi_Industri,PT Astra International,2021-05-02,2021-09-25,2021,2026-05-17T15:02:44+07:00
KGT31ac860b,0870232027,Praktisi_Industri,Unila,2020-06-24,2020-09-27,2020,2026-05-17T15:02:44+07:00
KGT66326751,0404161028,Pembina_Prestasi,BRIN,2025-02-12,2025-10-23,2025,2026-05-17T15:02:44+07:00
KGTc333ca81,0404161028,Praktisi_Industri,Universitas Lampung,2021-03-20,2021-10-16,2021,2026-05-17T15:02:44+07:00
KGT58aa4330,0404161028,QS100,Bank Indonesia,2020-01-19,2020-06-24,2020,2026-05-17T15:02:44+07:00
KGTc25d6443,0502216029,Praktisi_Industri,PT Astra International,2023-03-18,2024-02-12,2023,2026-05-17T15:02:44+07:00
KGT9da6703c,0502216029,QS100,Huawei Indonesia,2023-06-25,2024-02-07,2023,2026-05-17T15:02:44+07:00
KGT3df45751,0498823030,Pembina_Prestasi,Telkom University,2020-04-17,2020-07-25,2020,2026-05-17T15:02:44+07:00
KGT36c79293,0498823030,QS100,ITB,2020-06-22,2021-03-08,2020,2026-05-17T15:02:44+07:00
KGTdf0c5e93,0498823030,Tridarma_PT_Lain,PT Astra International,2022-06-03,2022-11-26,2022,2026-05-17T15:02:44+07:00
KGTb5a38838,0653527031,QS100,Osaka University,2025-05-31,2025-12-05,2025,2026-05-17T15:02:44+07:00
KGT2c6af224,0501263032,Pembina_Prestasi,NUS Singapore,2020-01-23,2020-06-27,2020,2026-05-17T15:02:44+07:00
KGT18b5a196,0501263032,QS100,ITB,2025-03-15,2025-08-24,2025,2026-05-17T15:02:44+07:00
KGT22f5d53f,0501263032,Tridarma_PT_Lain,ITS,2020-04-26,2021-02-23,2020,2026-05-17T15:02:44+07:00
KGT4dfdb891,0970758033,QS100,World Bank Jakarta,2024-02-12,2024-05-30,2024,2026-05-17T15:02:44+07:00
KGTe3861e66,0970758033,Tridarma_PT_Lain,PT Bukit Asam,2020-06-14,2021-04-01,2020,2026-05-17T15:02:44+07:00
KGT3c2708e3,0666800034,Praktisi_Industri,Universiti Malaya,2021-05-15,2021-11-26,2021,2026-05-17T15:02:44+07:00
KGT7aa80a4c,0666800034,Pembina_Prestasi,Google Indonesia,2020-05-26,2021-05-21,2020,2026-05-17T15:02:44+07:00
KGT3db6538f,0455276035,Praktisi_Industri,LIPI,2025-01-09,2025-12-10,2025,2026-05-17T15:02:44+07:00
KGTe4eebe22,0455276035,Pembina_Prestasi,PT Telkom Indonesia,2021-03-03,2021-05-26,2021,2026-05-17T15:02:44+07:00
KGT590b8ee3,0455276035,Praktisi_Industri,Unila,2021-02-26,2021-11-24,2021,2026-05-17T15:02:44+07:00
KGTa32623d6,0466171036,QS100,Universitas Indonesia,2024-04-14,2024-06-18,2024,2026-05-17T15:02:44+07:00
KGT734ff30b,0466171036,Pembina_Prestasi,UNDP Indonesia,2024-04-18,2024-09-08,2024,2026-05-17T15:02:44+07:00
KGTc6a7e87b,0870298037,Pembina_Prestasi,Universitas Lampung,2025-05-06,2025-06-19,2025,2026-05-17T15:02:44+07:00
KGTae1e7371,0870298037,QS100,ITB,2020-02-01,2020-09-15,2020,2026-05-17T15:02:44+07:00
KGTb7509b23,0870298037,Pembina_Prestasi,UGM,2025-04-09,2025-07-24,2025,2026-05-17T15:02:44+07:00
KGT1cb1e100,0724811038,QS100,World Bank Jakarta,2023-05-19,2024-02-13,2023,2026-05-17T15:02:44+07:00
KGT71c6b2c5,0724811038,Tridarma_PT_Lain,PT Astra International,2023-02-15,2024-01-29,2023,2026-05-17T15:02:44+07:00
KGTcebfb017,0724811038,Tridarma_PT_Lain,Unsri,2021-05-23,2022-01-19,2021,2026-05-17T15:02:44+07:00
KGT17882068,0216905039,Pembina_Prestasi,Kyushu University,2025-03-26,2025-12-30,2025,2026-05-17T15:02:44+07:00
KGTcf044f35,0216905039,Pembina_Prestasi,Universiti Malaya,2020-03-20,2021-01-23,2020,2026-05-17T15:02:44+07:00
KGTf4e65b59,0216905039,Tridarma_PT_Lain,LIPI,2021-06-05,2021-08-25,2021,2026-05-17T15:02:44+07:00
KGT87a382df,0216905039,Pembina_Prestasi,BMKG,2023-04-06,2023-08-12,2023,2026-05-17T15:02:44+07:00
KGT3b908b55,0216905039,QS100,IPB University,2021-01-25,2021-04-08,2021,2026-05-17T15:02:44+07:00
KGT4b0fb04c,0824983040,Pembina_Prestasi,Universitas Lampung,2025-06-25,2026-01-30,2025,2026-05-17T15:02:44+07:00
KGT196dcebe,0824983040,QS100,NUS Singapore,2022-05-14,2023-01-01,2022,2026-05-17T15:02:44+07:00
KGT8b79f26e,0824983040,Praktisi_Industri,Unila,2024-04-14,2024-08-22,2024,2026-05-17T15:02:44+07:00
KGT190d139d,0824983040,QS100,UNDP Indonesia,2024-01-05,2024-10-14,2024,2026-05-17T15:02:44+07:00
KGT800f37f1,0600191041,QS100,Universitas Lampung,2021-06-21,2022-04-21,2021,2026-05-17T15:02:44+07:00
KGTc4ef9d69,0282759042,Tridarma_PT_Lain,UNDP Indonesia,2025-01-29,2025-12-24,2025,2026-05-17T15:02:44+07:00
KGT5415c0e4,0282759042,Praktisi_Industri,Universitas Indonesia,2021-05-02,2021-11-11,2021,2026-05-17T15:02:44+07:00
KGT7f0a400f,0282759042,Tridarma_PT_Lain,Bank Indonesia,2025-02-28,2025-04-27,2025,2026-05-17T15:02:44+07:00
KGTb659084e,0282759042,QS100,IPB University,2021-06-20,2022-01-15,2021,2026-05-17T15:02:44+07:00
