lulusan_id,mahasiswa_id,prodi_id,tanggal_lulus,ipk,lama_studi_bulan,status_pasca_lulus,nama_perusahaan,bidang_kerja,masa_tunggu_bulan,sumber_data,ingested_at
LLS35ea6c57,2017PWK38148,PWK,2021-02-21,3.92,52,Wirausaha,Politeknik Negeri Lampung,Sesuai,2,Tracer Study,2026-05-17T15:02:44+07:00
LLS88aaef27,2017FT16328,FT,2022-03-01,2.91,72,Bekerja,Unila,Tidak Sesuai,14,Tracer Study,2026-05-17T15:02:44+07:00
LLS8a2a0d06,2019FIS06922,FIS,2025-12-13,3.78,71,Wirausaha,PT Telkom Indonesia,Tidak Sesuai,12,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS0cdff442,2019TL12209,TL,2023-08-25,3.62,57,Bekerja,,Tidak Sesuai,7,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS0df82aa2,2019FIS23668,FIS,2024-08-31,2.83,46,Studi Lanjut,ITS,Tidak Sesuai,12,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS83c71e7f,2019SK40879,SK,2025-07-20,3.07,58,Belum Bekerja,NUS Singapore,Sesuai,17,Tracer Study,2026-05-17T15:02:44+07:00
LLS57201450,2017KIM10973,KIM,2022-01-06,3.1,57,Bekerja,PT PLN,Tidak Sesuai,18,Tracer Study,2026-05-17T15:02:44+07:00
LLS44aff811,2020PWK09786,PWK,2025-12-25,3.36,69,Bekerja,,Tidak Sesuai,12,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS8a73145f,2021IF20453,IF,2025-05-24,3.82,69,Belum Bekerja,Telkom University,Tidak Sesuai,9,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSf26e5da6,2023TLK29755,TLK,2027-01-01,3.78,44,Bekerja,ITS,Sesuai,6,Tracer Study,2026-05-17T15:02:44+07:00
LLSe5bd08b0,2017TP23902,TP,2021-06-12,3.49,49,Studi Lanjut,PT PLN,Tidak Sesuai,8,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLScb313df1,2021TI24101,TI,2025-06-18,3.64,71,Belum Bekerja,JICA Indonesia,Tidak Sesuai,3,Tracer Study,2026-05-17T15:02:44+07:00
LLSc1cedbd4,2018FT39359,FT,2022-08-20,3.32,49,Bekerja,,Sesuai,8,Tracer Study,2026-05-17T15:02:44+07:00
LLS6840f803,2019SI46497,SI,2025-06-17,3.63,50,Bekerja,Politeknik Negeri Lampung,Sesuai,14,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSf6c01c11,2020TI08386,TI,2025-09-18,3.46,55,Bekerja,BRIN,Tidak Sesuai,14,Tracer Study,2026-05-17T15:02:44+07:00
LLS9ba90735,2018PWK18111,PWK,2022-03-07,2.85,47,Bekerja,Telkom University,Sesuai,9,Tracer Study,2026-05-17T15:02:44+07:00
LLScf6c35d5,2017AR39234,AR,2021-05-28,2.84,68,Belum Bekerja,Toyota Motor Manufacturing,Sesuai,12,Tracer Study,2026-05-17T15:02:44+07:00
LLSabb979f7,2021TI13710,TI,2025-01-24,3.19,48,Studi Lanjut,Kyushu University,Tidak Sesuai,10,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS266ded36,2020BIO19675,BIO,2025-07-03,2.97,65,Bekerja,Toyota Motor Manufacturing,Tidak Sesuai,10,Tracer Study,2026-05-17T15:02:44+07:00
LLSb8ca3ea0,2019TE22148,TE,2024-12-11,3.15,66,Bekerja,,Sesuai,16,Tracer Study,2026-05-17T15:02:44+07:00
LLS62248973,2018MB34718,MB,2023-01-09,3.77,59,Bekerja,PT Pertamina,Tidak Sesuai,4,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLS47d0254e,2017KIM25825,KIM,2023-01-21,2.98,55,Bekerja,PT Telkom Indonesia,Tidak Sesuai,2,Laporan Wisuda,2026-05-17T15:02:44+07:00
LLSfc869b24,2017TLK07043,TLK,2021-01-02,3.11,59,Wirausaha,Politeknik Negeri Lampung,Tidak Sesuai,5,Tracer Study,2026-05-17T15:02:44+07:00
