mbkm_id,mahasiswa_id,prodi_id,jenis_mbkm,institusi_mitra,sks_diakui,tahun,semester,prestasi_nasional,ingested_at
MBKMe980c6bf,2024TL23567,TL,Proyek Kemanusiaan,Chulalongkorn University,24,2025,Ganjil,False,2026-05-17T15:02:44+07:00
MBKM870598f3,2024SK22642,SK,Magang,PT Telkom Indonesia,6,2025,Genap,False,2026-05-17T15:02:44+07:00
MBKM18910b1f,2020TS43541,TS,Riset,JICA Indonesia,20,2024,Genap,False,2026-05-17T15:02:44+07:00
MBKM39c759e3,2024MTK07493,MTK,KKN Tematik,PT Astra International,6,2025,Ganjil,False,2026-05-17T15:02:44+07:00
MBKM1d027bd8,2023TI41460,TI,Proyek Kemanusiaan,ITS,22,2025,Ganjil,False,2026-05-17T15:02:44+07:00
MBKM5dabb572,2022FT30511,FT,Magang,PT Pertamina,20,2023,Genap,False,2026-05-17T15:02:44+07:00
MBKM34d14e93,2020GL31716,GL,Riset,Chulalongkorn University,12,2021,Genap,False,2026-05-17T15:02:44+07:00
MBKM86159c65,2024MTK40292,MTK,Wirausaha,TU Delft,12,2025,Genap,True,2026-05-17T15:02:44+07:00
MBKMcd4b0e1e,2023TE11958,TE,KKN Tematik,PT Astra International,22,2025,Genap,False,2026-05-17T15:02:44+07:00
MBKMf7db2520,2020TS19359,TS,KKN Tematik,PT Telkom Indonesia,20,2024,Ganjil,False,2026-05-17T15:02:44+07:00
MBKMc004402b,2021TS32936,TS,Magang,Unsri,6,2025,Genap,False,2026-05-17T15:02:44+07:00
MBKMd9970ee6,2022TK33473,TK,KKN Tematik,World Bank Jakarta,12,2023,Ganjil,False,2026-05-17T15:02:44+07:00
MBKMd54ef44d,2021AR48001,AR,Magang,Huawei Indonesia,24,2022,Genap,False,2026-05-17T15:02:44+07:00
MBKMa5de6e28,2020GL23497,GL,KKN Tematik,NUS Singapore,20,2022,Genap,False,2026-05-17T15:02:44+07:00
MBKM261c8725,2021TI33867,TI,Magang,Telkom University,24,2025,Genap,False,2026-05-17T15:02:44+07:00
MBKMb3ef1fd2,2024BIO24385,BIO,Proyek Kemanusiaan,Kyushu University,22,2025,Ganjil,False,2026-05-17T15:02:44+07:00
MBKM298cda14,2021TM21378,TM,KKN Tematik,IPB University,20,2023,Genap,False,2026-05-17T15:02:44+07:00
MBKM5853fe17,2023GL25330,GL,KKN Tematik,UGM,20,2024,Genap,False,2026-05-17T15:02:44+07:00
MBKM60496e6f,2022AG40979,AG,Magang,Google Indonesia,12,2023,Genap,False,2026-05-17T15:02:44+07:00
MBKMdc55b452,2020TG48369,TG,Magang,Universiti Malaya,22,2023,Genap,False,2026-05-17T15:02:44+07:00
MBKM995d2fdf,2021TE02480,TE,Pertukaran,UNDP Indonesia,22,2024,Genap,False,2026-05-17T15:02:44+07:00
MBKM01da4333,2021PWK10467,PWK,KKN Tematik,Toyota Motor Manufacturing,12,2022,Ganjil,False,2026-05-17T15:02:44+07:00
MBKM296c7426,2021GL36242,GL,Wirausaha,BRIN,22,2025,Ganjil,True,2026-05-17T15:02:44+07:00
MBKMa4c4bde5,2022PWK08162,PWK,Magang,Google Indonesia,12,2023,Genap,False,2026-05-17T15:02:44+07:00
MBKMe298fe7b,2023SI35654,SI,Wirausaha,Chulalongkorn University,20,2024,Genap,False,2026-05-17T15:02:44+07:00
