penelitian_id,judul,dosen_id,jurusan_id,tahun,skema,dana,topik,status_publikasi,rekognisi_internasional,diterapkan_masyarakat,ingested_at
PNL0b5d751e,Penelitian Sustainable Energy - 2f3656ae,0843899000,JMB,2021,Industri,50000000,Sustainable Energy,Jurnal Nasional,False,False,2026-05-17T15:02:44+07:00
PNL2e8093da,Penelitian Green Infrastructure - 281dc0bf,0283841001,JTI,2020,Mandiri,5000000,Innovative Industry,Jurnal Nasional,False,True,2026-05-17T15:02:44+07:00
PNL4a494914,Penelitian Green Infrastructure - f76a0a24,0290415002,JTI,2023,Mandiri,250000000,Sustainable Energy,Jurnal Internasional,True,True,2026-05-17T15:02:44+07:00
PNLa63a96f8,Penelitian Community Development - 55e920b1,0290415002,JTI,2025,Dana ITERA,25000000,Sustainable Energy,Belum,False,True,2026-05-17T15:02:44+07:00
PNLc3b7577f,Penelitian Green Infrastructure - ff6c4068,0748357003,JTP,2020,Mandiri,10000000,Innovative Industry,Jurnal Nasional,False,False,2026-05-17T15:02:44+07:00
PNL40b6de3f,Penelitian Green Infrastructure - 1dae9cb4,0748357003,JTP,2020,Mandiri,25000000,Innovative Industry,Jurnal Nasional,False,True,2026-05-17T15:02:44+07:00
PNL3c3ead8f,Penelitian Community Development - b7ff40ec,0674891006,JTI,2025,Hibah Dikti,5000000,Green Infrastructure,Belum,False,False,2026-05-17T15:02:44+07:00
PNL8459537a,Penelitian Sustainable Energy - b678b8f7,0540472007,JMB,2025,Industri,100000000,Innovative Industry,Belum,False,False,2026-05-17T15:02:44+07:00
PNLe90abd26,Penelitian Green Infrastructure - 1b0e93fb,0540472007,JMB,2023,Mandiri,50000000,Community Development,Jurnal Internasional,False,False,2026-05-17T15:02:44+07:00
PNLe9aeb7d6,Penelitian Innovative Industry - 4eed935c,0741154008,JTP,2021,Industri,5000000,Community Development,Jurnal Nasional,False,False,2026-05-17T15:02:44+07:00
PNLcc6db2f1,Penelitian Community Development - 4f735454,0741154008,JTP,2021,Dana ITERA,50000000,Green Infrastructure,Jurnal Nasional,False,False,2026-05-17T15:02:44+07:00
PNLc3619b97,Penelitian Innovative Industry - 63347fdc,0741154008,JTP,2024,Hibah Dikti,10000000,Sustainable Energy,Jurnal Nasional,False,False,2026-05-17T15:02:44+07:00
PNL0d613356,Penelitian Innovative Industry - 3d95950b,0741154008,JTP,2023,Mandiri,25000000,Green Infrastructure,Belum,False,False,2026-05-17T15:02:44+07:00
PNL55f9bd98,Penelitian Community Development - 4ec51584,0455785009,JTK,2024,Dana ITERA,25000000,Innovative Industry,Jurnal Internasional,False,False,2026-05-17T15:02:44+07:00
PNL92a0363b,Penelitian Innovative Industry - 0e047d5d,0455785009,JTK,2023,Dana ITERA,50000000,Sustainable Energy,Belum,False,False,2026-05-17T15:02:44+07:00
