pkm_id,judul,dosen_id,jurusan_id,tahun,dana,lokasi,rekognisi_internasional,diterapkan_masyarakat,ingested_at
PKM3c87c606,Pengabdian Green Infrastructure - 0d58b725,0843899000,JMB,2025,10000000,Metro,False,False,2026-05-17T15:02:44+07:00
PKMbdbe14b5,Pengabdian Innovative Industry - e42cde66,0283841001,JTI,2023,25000000,Lampung Utara,False,False,2026-05-17T15:02:44+07:00
PKMd973d7a4,Pengabdian Green Infrastructure - a5a876b5,0283841001,JTI,2024,50000000,Lampung Barat,False,False,2026-05-17T15:02:44+07:00
PKM9eb5634e,Pengabdian Sustainable Energy - 6b1bad3a,0290415002,JTI,2020,25000000,Lampung Barat,False,False,2026-05-17T15:02:44+07:00
PKM6ee180b3,Pengabdian Innovative Industry - 718ed75d,0748357003,JTP,2025,10000000,Lampung Selatan,False,True,2026-05-17T15:02:44+07:00
PKM583dd47f,Pengabdian Community Development - acdecd9b,0748357003,JTP,2025,10000000,Way Kanan,False,False,2026-05-17T15:02:44+07:00
PKMd2369621,Pengabdian Green Infrastructure - 56bcefc6,0391276004,JSA,2021,25000000,Bandar Lampung,False,True,2026-05-17T15:02:44+07:00
PKM6df532c0,Pengabdian Green Infrastructure - cdac4e5e,0391276004,JSA,2025,50000000,Mesuji,False,True,2026-05-17T15:02:44+07:00
PKM8b2cf66f,Pengabdian Community Development - 789a19b1,0391276004,JSA,2023,3000000,Lampung Barat,False,False,2026-05-17T15:02:44+07:00
PKMa4d445a9,Pengabdian Green Infrastructure - bbb4df82,0538106005,JTI,2021,10000000,Lampung Utara,False,False,2026-05-17T15:02:44+07:00
PKM503f9d3c,Pengabdian Community Development - 8ea36ec4,0674891006,JTI,2024,5000000,Tanggamus,False,False,2026-05-17T15:02:44+07:00
PKMce15a919,Pengabdian Green Infrastructure - aff8ed25,0674891006,JTI,2023,10000000,Lampung Barat,False,False,2026-05-17T15:02:44+07:00
PKM01c75229,Pengabdian Green Infrastructure - bfd1c0c3,0540472007,JMB,2025,5000000,Way Kanan,True,False,2026-05-17T15:02:44+07:00
