prestasi_id,mahasiswa_id,nama_kompetisi,bidang,tingkat,peringkat,tahun,dosen_pembina_id,ingested_at
PRSd85d1ef1,2023TL20188,Pilmapres,Teknologi,Nasional,Finalis,2022,0881660012,2026-05-17T15:02:44+07:00
PRSa8e5fea8,2022SI47984,Imagine Cup,Desain,Nasional,Juara 2,2022,0105684674,2026-05-17T15:02:44+07:00
PRS010dd718,2017TI00987,Electric Vehicle Competition,Desain,Regional,Juara 2,2022,0287043238,2026-05-17T15:02:44+07:00
PRS17c45207,2017TK19531,National Bridge Competition,Riset,Institusi,Juara 1,2022,0898583300,2026-05-17T15:02:44+07:00
PRSc0029970,2025TG08132,IoT Hackathon,Desain,Nasional,Juara 2,2020,0457194702,2026-05-17T15:02:44+07:00
PRSbdd66dc6,2017PWK27086,Shell Eco-Marathon,Desain,Regional,Juara 3,2022,0507809685,2026-05-17T15:02:44+07:00
PRS3b997040,2018TS27896,ACM ICPC Regional,Seni,Nasional,Juara 2,2024,0457617703,2026-05-17T15:02:44+07:00
PRSe9281bcb,2023MB34257,IoT Hackathon,Riset,Institusi,Juara 3,2023,0284894171,2026-05-17T15:02:44+07:00
PRSb50151c5,2017FT46360,Pilmapres,Olahraga,Institusi,Finalis,2022,0740910524,2026-05-17T15:02:44+07:00
PRSfdb921a9,2017TK25340,Pilmapres,Desain,Institusi,Juara 3,2023,0348663268,2026-05-17T15:02:44+07:00
PRS7386e617,2024MTK29364,Electric Vehicle Competition,Seni,Nasional,Juara 3,2023,,2026-05-17T15:02:44+07:00
PRS0c1897ce,2019GL42575,IoT Hackathon,Riset,Regional,Juara 2,2023,0554056083,2026-05-17T15:02:44+07:00
PRS5935eb14,2016TM34793,LKTIN Nasional,Teknologi,Internasional,Finalis,2025,0828925735,2026-05-17T15:02:44+07:00
PRS2e815e48,2020KIM47409,ONMIPA,Desain,Nasional,Juara 1,2023,0777889144,2026-05-17T15:02:44+07:00
PRScbd19bb9,2024BIO08665,Electric Vehicle Competition,Desain,Nasional,Juara 1,2025,0461098159,2026-05-17T15:02:44+07:00
PRS28b137ec,2022TM43984,Imagine Cup,Seni,Institusi,Juara 1,2020,,2026-05-17T15:02:44+07:00
PRS4f4f3d5d,2021TS17521,Kontes Robot Indonesia,Riset,Regional,Juara 3,2022,0938962753,2026-05-17T15:02:44+07:00
PRS6deed100,2025TE17987,KMIPN,Teknologi,Institusi,Juara 3,2023,,2026-05-17T15:02:44+07:00
PRS57d91fed,2023TLK41130,Smart City Competition,Teknologi,Regional,Juara 3,2025,0694215779,2026-05-17T15:02:44+07:00
PRS8df729d6,2017FT22366,LKTIN Nasional,Seni,Regional,Juara 1,2025,0639478420,2026-05-17T15:02:44+07:00
